DevOps Capability Assessment - Full Test,,,,,
,,,,,
Recommendations for your improvement,,,,,
Your overall results,Moderate,'61/164',,,
Continuous Monitoring,"Describe how your team's applications are engineered towards providing information for operations? (logging, instrumentation)",We use AGENT technology to conduct PING tests and verification of services.  We log this data to a central repository that allows us to build and visualize trends over time,,,
Continuous Monitoring,"Describe how your team's applications are engineered towards providing information for operations? (logging, instrumentation)",None of the above,,,
Culture,Describe how your organization has improved collaboration with development and operations teams?,Changed our change management process,Changed our change management process,,
Culture,Describe how your organization has improved collaboration with development and operations teams?,Communicate more often with the development teams to increase its knowledge of operations,Communicate more often with the development teams to increase its knowledge of operations,,
Culture,Describe how your organization has improved collaboration with development and operations teams?,Educate development teams on the evolution of operations as a services-centric organization,Educate development teams on the evolution of operations as a services-centric organization,,
Culture,Describe how your organization has improved collaboration with development and operations teams?,"Consider development as ""service development""","Consider development as ""service development""",,
Culture,Describe how your organization has improved collaboration with development and operations teams?,Understand and manage the diversity of views on IT delivery,,,
Culture,Describe how your organization has improved collaboration with development and operations teams?,Integrate operations mission statement with the business,,,
Culture,Describe how your organization has improved collaboration with development and operations teams?,None of the above,,,
Culture,Describe how frequently does your team tries new ideas?,All the time,,,
Culture,Describe how frequently does your team tries new ideas?,Regularly,,,
Culture,Describe how frequently does your team tries new ideas?,Sometimes,,,
Culture,Describe how frequently does your team tries new ideas?,Every so Often,Every so Often,,
Culture,Describe how frequently does your team tries new ideas?,None of the above,,,
Culture,"Describe how your team shares a single clear vision and direction? ",There is a general sense of direction but might be clarified better,,,
Culture,"Describe how your team shares a single clear vision and direction? ",We have a couple of different directions to sort out,We have a couple of different directions to sort out,,
Culture,"Describe how your team shares a single clear vision and direction? ",We have a clear vision and supported by our organization,,,
Culture,"Describe how your team shares a single clear vision and direction? ",None of the above,,,
Culture,Describe how your organization sees culture change either as a continuous (or event based) endeavor?,Our organization embraces the DevOps Culture.,,,
Culture,Describe how your organization sees culture change either as a continuous (or event based) endeavor?,We embraced some DevOps culture changes but we have a long way to go.,We embraced some DevOps culture changes but we have a long way to go.,,
Culture,Describe how your organization sees culture change either as a continuous (or event based) endeavor?,Our organization has not embraced DevOps culture changes and our culture needs to change.,,,
Culture,Describe how your team shares risks with other parts of the business?,Our team shares risks with different business teams.,,,
Culture,Describe how your team shares risks with other parts of the business?,Our team shares some risks with different business teams.,Our team shares some risks with different business teams.,,
Culture,Describe how your team shares risks with other parts of the business?,Our team does not share risks with different business teams.,,,
Culture,Describe how your team spends time on innovating and learning?,Establish a growth mindset,Establish a growth mindset,,
Culture,Describe how your team spends time on innovating and learning?,Fail fast and incorporate the learnings into our processes,Fail fast and incorporate the learnings into our processes,,
Culture,Describe how your team spends time on innovating and learning?,Build out experimentations projects,Build out experimentations projects,,
Culture,Describe how your team spends time on innovating and learning?,Put a Data-Centric mindset on development,Put a Data-Centric mindset on development,,
Culture,Describe how your team spends time on innovating and learning?,None of the above,,,
Culture,"Describe how easy is it for your team to move to the next innovation when a previous one failed? ",Heads rolled so we get back with the program,Heads rolled so we get back with the program,,
Culture,"Describe how easy is it for your team to move to the next innovation when a previous one failed? ",We get a lot of push back and are reminded of other things that went wrong,We get a lot of push back and are reminded of other things that went wrong,,
Culture,"Describe how easy is it for your team to move to the next innovation when a previous one failed? ",We get some push back and are told to do better next time,We get some push back and are told to do better next time,,
Culture,"Describe how easy is it for your team to move to the next innovation when a previous one failed? ","If we can present lessons learned we get the benefit of the doubt ",,,
Culture,"Describe how easy is it for your team to move to the next innovation when a previous one failed? ",We are encouraged to find out the effect by making non-fatal experiments,We are encouraged to find out the effect by making non-fatal experiments,,
Culture,"Describe how easy is it for your team to move to the next innovation when a previous one failed? ",None of the above,,,
