"Azure Well-Architected Review - Nov 17, 2023 - 2:38:53 AM",,,,,,,,,
,,,,,,,,,
Recommendations for your workload,,,,,,,,,
Performance Efficiency,How do you optimize the performance of your code and infrastructure?,We review and optimize infrastructure for performance.,,,,,,,
Performance Efficiency,How do you optimize the performance of your code and infrastructure?,None of the above.,None of the above.,,,,,,
Performance Efficiency,How do you optimize data performance?,We profile data to understand areas that need improvement.,,,,,,,
Performance Efficiency,How do you optimize data performance?,We constantly monitor the performance of data stores.,,,,,,,
Performance Efficiency,How do you optimize data performance?,We partition data to improve performance.,,,,,,,
Performance Efficiency,How do you optimize data performance?,We tune and optimize data queries.,,,,,,,
Performance Efficiency,How do you optimize data performance?,We implement indexes to improve data access performance.,,,,,,,
Performance Efficiency,How do you optimize data performance?,"We compress data to optimize data transit performance and reduce the storage footprint, where applicable.",,,,,,,
Performance Efficiency,How do you optimize data performance?,We cache data when possible.,,,,,,,
Performance Efficiency,How do you optimize data performance?,We choose the proper level of consistency to optimize performance.,,,,,,,
Performance Efficiency,How do you optimize data performance?,We store data in close proximity to where it's used.,,,,,,,
Performance Efficiency,How do you optimize data performance?,None of the above.,None of the above.,,,,,,
Performance Efficiency,How do you prioritize the performance of critical flows?,We map out all flows.,,,,,,,
Performance Efficiency,How do you prioritize the performance of critical flows?,We monitor flow performance metrics.,,,,,,,
Performance Efficiency,How do you prioritize the performance of critical flows?,We identify and document all critical flows.,,,,,,,
Performance Efficiency,How do you prioritize the performance of critical flows?,"We isolate critical flows, where practical.",,,,,,,
Performance Efficiency,How do you prioritize the performance of critical flows?,We assign capacity allocations and prioritize critical flows when capacity is limited.,,,,,,,
Performance Efficiency,How do you prioritize the performance of critical flows?,None of the above.,None of the above.,,,,,,
Performance Efficiency,How do you optimize your operational tasks?,We identify and evaluate the overhead that's associated with the effect of operational tasks.,,,,,,,
Performance Efficiency,How do you optimize your operational tasks?,We optimize deployments for the workload.,,,,,,,
Performance Efficiency,How do you optimize your operational tasks?,We test upgrades to ensure minimal impact on the system's performance.,,,,,,,
Performance Efficiency,How do you optimize your operational tasks?,"We account for antivirus, intrusion detection, and monitoring agents when considering performance targets.",,,,,,,
Performance Efficiency,How do you optimize your operational tasks?,"We optimize database operational tasks such as backups, schema changes, and monitoring.",,,,,,,
Performance Efficiency,How do you optimize your operational tasks?,We configure monitoring to collect the proper level of information to reduce performance impacts.,,,,,,,
Performance Efficiency,How do you optimize your operational tasks?,None of the above.,None of the above.,,,,,,
Performance Efficiency,How do you respond to live performance issues?,We are prepared for live performance issues.,,,,,,,
Performance Efficiency,How do you respond to live performance issues?,We have a triage plan.,,,,,,,
Performance Efficiency,How do you respond to live performance issues?,We have methods in place to identify and resolve live performance issues.,,,,,,,
Performance Efficiency,How do you respond to live performance issues?,We use feedback from live issues to prioritize performance enhancements.,,,,,,,
Performance Efficiency,How do you respond to live performance issues?,None of the above.,None of the above.,,,,,,
Performance Efficiency,How do you enable continuous performance optimization?,We have a culture that promotes continuous performance optimization.,,,,,,,
Performance Efficiency,How do you enable continuous performance optimization?,We regularly evaluate new platform features.,,,,,,,
Performance Efficiency,How do you enable continuous performance optimization?,We proactively address the performance of known deteriorating components.,,,,,,,
Performance Efficiency,How do you enable continuous performance optimization?,We use automation to fix common performance issues.,,,,,,,
Performance Efficiency,How do you enable continuous performance optimization?,We periodically address technical debt.,,,,,,,
Performance Efficiency,How do you enable continuous performance optimization?,None of the above.,None of the above.,,,,,,
